tx_hash,from_address,to_address,amount,timestamp,block_number,gas_fee
3178931f-0ff8-4303-841c-5e51ca410650,0xa5c5d2c92845416d9209dce2936da69b,0xdaa906abebfe43cf9aeb885147a82f0e,34.461407,2025-10-23 13:49:09.864262,1001521,0.09325
11519e4e-6b22-4c0e-af2c-d195dc593d7f,0x9ba28dd646aa4f4e8d5acacf71db8e49,0xd9d3668ead154534ae3865083b0d3904,268.616702,2025-10-23 13:49:09.864262,1003535,0.401648
ca2ec53b-5cc0-42a3-9b17-29ef209c5ceb,0x85e1ca58441e4a15aa282498a19c3b65,0x59ba30a2c3a4465db3080761784f83a5,109.999386,2025-10-23 13:49:09.864262,1002649,0.15776
4ce72ca7-836f-4550-9e5e-c6b6ed901d46,0x11afed21e1764e1eac20ceda512b39a0,0x1a095b9ddcff44d19987ac933c31cc56,285.581169,2025-10-23 13:49:09.864262,1001688,0.319802
83376df0-a2a0-4c20-a94b-568f22a9f54e,0xab1e7433604a42c6a49a8768add11fb6,0x1014168d6dbf4f5db4d639f0cc48b892,254.251559,2025-10-23 13:49:09.864262,1004530,0.463987
8166bd38-b834-4192-9057-d920b0fdbb44,0x638429bee21c4f25a36548e2713d878c,0x36bf0c205ecb4106905e52e19ef0c4f5,154.415349,2025-10-23 13:49:09.864262,1003902,0.247265
d18bce6d-a58c-4be1-9a60-0cbac41830a7,0x81cc9d88fa1a4154a407c12aae9537ec,0xaee588d0e7ec45df8c9c97b13ebf05ce,198.475018,2025-10-23 13:49:09.864262,1001188,0.469926
23e831c9-1aac-4448-a36d-95672c1f2be2,0xd8dae3e5bc50494f92fad8d7c1c6433f,0x532b7cb3d70440a3b24f9521e8b38888,15.87279,2025-10-23 13:49:09.864262,1002033,0.034903
0347847e-fc33-46a2-b632-bcaf7b29fc6e,0x1574bf1f0f5f40ee895b09763a78ce6a,0xce5e0e1f33914bfc934d1204cb4fa7ed,37.481926,2025-10-23 13:49:09.864262,1001713,0.063378
a1701f1a-8b4f-41c8-8390-35ea4a2ed063,0x50ccc0f8a7634e9abd45af3e4720804a,0xc54110da9dea4959b12f655d44571008,157.83355,2025-10-23 13:49:09.864262,1003090,0.342061
56523e49-0631-455d-a3df-34fd0f1fa063,0xbaf8d5895f644481808ddce52a709a4d,0xc0459c194fcc4282b382a0614c70d472,241.834984,2025-10-23 13:49:09.864262,1001668,0.461139
a7569e5b-c554-4b38-803e-0978a7978735,0x90e6ca05e5714d80baf557e46a816ff6,0x67496768fbbd4f95bf623478326f9a0c,235.711393,2025-10-23 13:49:09.864262,1003131,0.450469
